block,cue_id,singer_ids,provisional_start_s,provisional_end_s,user_anchor_only,actual_audio_start_s,actual_audio_end_s,actual_video_start_s,actual_video_end_s,notes
R02,M1,C01,0,5,不停的猜猜猜又卜了一卦,,,,,男同期唱，随后小步走近；女背向静听。
R02,M2,C01,5,10,,,,,,只随歌曲参考，不抄未提供歌词；男唱中继续小步走近。
R02,M3,C01,10,15,,,,,,双人同框男唱，女手指松袖和肩背反应，不代唱。
R02,M4,C01,15,20.5,缘分阴错阳差,,,,,男唱完末音才闭嘴，已前移总计约0.6米，两人相距1.4米。
R02,I1,,20.5,30,,,,,,无词伴奏按小节缩短长间奏，末1秒女开始回头，声画连续延长。
R03,F1,C05,0,5,风吹沙，蝶恋花,,,,,承上段回头，首音前嘴已可见，约2秒内看向男方；实际入声可在0–0.8秒。
R03,F2,C05,5,10,情迷着镜中花,,,,,潘慧女唱，眼神含笑，嘴型服从同期发音。
R03,M5,C01,10,12.5,竹篱笆，木琵琶,,,,,双人中近景不快速切镜，男接唱、女静听。
R03,F3,C05,12.5,15,拱桥月下,,,,,同一镜女接唱、男静听。
R03,DU1,C01+C05,15,17,谁在弹唱,,,,,双人同框合唱、两脸同焦，两声线保留各自身份。
R03,F4,C05,17,20.5,思念远方牵挂,,,,,女接唱时新表演短轻笑，收好尾音；不声称复刻真实笑场。
R03,A1,,20.5,25,,,,,,唱毕先对视，双方各前进约0.45米，袖边轻触回应后倾身。
R03,A2,,25,30,,,,,,双方自愿、持续约五秒温柔深情相吻，嘴不再唱，面部不融化。
