id,block,speaker,source_start,source_end,global_start,global_end,visible,text
E2_D01,N01,笑皇,1,3.7,1,3.7,True,让你查的事，如何了？
E2_D02,N01,小腿,5,5.8,5,5.8,True,臣……
E2_D03,N01,笑皇,8.2,10.8,8.2,10.8,True,有什么不能说？直说。
E2_D04,N01,小腿,11.5,17.7,11.5,17.7,True,密探来报，徽州官仓闭赈，米价又涨了三成。
E2_D05,N01,小腿,18.4,24.5,18.4,24.5,True,百姓暗地里怨陛下，说新皇登基，也不给人活路。
E2_D06,N02,笑皇,0.5,4.7,30.5,34.7,True,派都察院御史，作钦差去查，如何？
E2_D07,N02,西卡,5.4,9.8,35.4,39.8,True,钦差未到，街已扫净，仓也填满了。
E2_D08,N02,西卡,10.2,15.6,40.2,45.6,False,灾民往城外一赶，陛下看见的，还是太平。
E2_D09,N02,笑皇,16.5,18.2,46.5,48.2,True,那依你呢？
E2_D10,N02,西卡,19.4,23.2,49.4,53.2,True,陛下微服走一趟，方知真假。
E2_D11,N02,笑皇,24.3,28.5,54.3,58.5,True,好。你留京坐镇，朕只带小腿。
E2_D12,N03,笑皇,4.4,7.1,64.4,67.1,True,老人家，官仓为何不开？
E2_D13,N03,买米老人,8.1,9.7,68.1,69.7,True,客官，莫问了。
E2_D14,N03,茶客,14.4,17.3,74.4,77.3,True,快些！潘姑娘今夜登台！
E2_D15,N03,笑皇,18.5,20.4,78.5,80.4,True,哪位潘姑娘？
E2_D16,N03,茶客,22.2,27.9,82.2,87.9,True,潘慧姑娘。听松楼的才女，半城的文人都认得她。
E2_D17,N05,小腿,0.5,6.7,120.5,126.7,True,公子，潘姑娘交游广，或许知道粮灾的内情。不妨问问她。
E2_D18,N05,潘慧,8.1,10.3,128.1,130.3,True,今夜以诗会友。
E2_D19,N05,潘慧,11.2,17.7,131.2,137.7,True,我出半句，诸位来续。谁续得好，便请入内叙谈。
E2_D20,N05,客席一人,19.1,19.9,139.1,139.9,True,好！
E2_D21,N05,笑皇,24,26.2,144,146.2,True,好，我也试试。
