id,start,end,speaker,text,note,start_sample_48k,end_sample_exclusive_48k
DLG01,3.2,5.3,老人,朝廷拨的粮呢？,按动作说话，不顶满时窗。,153600,254400
DLG02,5.7,7.0,官差,没粮！退后！,按动作说话，不顶满时窗。,273600,336000
DLG03,8.6,12.7,妇人画外,新皇登基，咱们照样挨饿。,按动作说话，不顶满时窗。,412800,609600
DLG04,14.0,16.5,粮商,官粮，全运来了。,按动作说话，不顶满时窗。,672000,792000
DLG05,18.0,20.5,魏笑,明日起，再涨三成。,平常交代公务般冷静。,864000,984000
DLG06,33.6,38.1,小腿,徽州粮价平稳，百姓安居乐业。,按动作说话，不顶满时窗。,1612800,1828800
DLG07,39.2,42.3,小腿,人人……面带微笑。,人人后停约0.3秒；不替观众解释。,1881600,2030400
DLG08,43.2,46.6,笑皇,百姓有饭吃，朕便放心了。,按动作说话，不顶满时窗。,2073600,2236800
DLG09,49.7,53.6,公子,西湖别院一座，请姑娘赏光。,按动作说话，不顶满时窗。,2385600,2572800
DLG10,54.1,57.8,潘慧,公子留着吧，我住这里挺好。,自然温柔；不做网红撒娇声。,2596800,2774400
DLG11,63.0,66.4,侍女,小姐想嫁什么样的人？,按动作说话，不顶满时窗。,3024000,3187200
DLG12,68.0,69.4,潘慧,我也不知道。,自然温柔；不做网红撒娇声。,3264000,3331200
DLG13,70.2,73.6,潘慧,总得先见着那个人。,自然温柔；不做网红撒娇声。,3369600,3532800
DLG14,78.7,87.3,史官,笑皇不知，江南已乱。也不知徽州一人，将牵动此后半生。,沉稳叙述，不做预告片腔。,3777600,4190400
