block,cue_id,speaker_ids,anchor_text,provisional_start_s,provisional_end_s,actual_video_start,actual_video_end,note
R01,M1,C01,不停的猜猜猜又卜了一卦,0,5,,,男同期唱，随后小步走近；女背向静听。
R01,M2,C01,,5,10,,,只随歌曲参考，不抄未提供歌词；男唱中继续小步走近。
R01,M3,C01,,10,15,,,双人同框男唱，女手指松袖和肩背反应，不代唱。
R01,M4,C01,缘分阴错阳差,15,20.5,,,男唱完末音才闭嘴，已前移总计约0.6米，两人相距1.4米。
R01,I1A,,,20.5,30,,,较长间奏前部，松肩侧耳，30秒边界无词。
R02,I1B,,,0,9.5,,,承上段间奏，6.5–10秒渐回头；首音前嘴可见。
R02,F1,C05,风吹沙，蝶恋花,9.5,14.5,,,承本段6.5–10秒回头，约9.5秒首音前嘴已可见；具体入声点待实测。
R02,F2,C05,情迷着镜中花,14.5,19.5,,,潘慧女唱，眼神含笑，嘴型服从同期发音。
R02,M5,C01,竹篱笆，木琵琶,19.5,21.6,,,双人中近景不快速切镜，男接唱、女静听。
R02,F3,C05,拱桥月下,21.6,24,,,同一镜女接唱、男静听。
R02,DU1,C01+C05,谁在弹唱,24,25.8,,,双人同框合唱、两脸同焦，两声线保留各自身份。
R02,F4,C05,思念远方牵挂,25.8,28.5,,,女接唱时新表演短轻笑，收好尾音；不声称复刻真实笑场。
R02,I2,,,28.5,30,,,女声收完尾音后留无词桥，新副歌在R03句首进入；必要时只调无词音乐句法。
R03,RM1,C01+C05,不停的猜猜猜又卜了一卦,0,5,,,新增双人副歌回唱；两人都唱同一歌词，保留各自声线，不称原曲未剪顺序或真实现场复刻。
R03,RM2,C01+C05,,5,10,,,新增双人副歌回唱；两人都唱同一歌词，保留各自声线，不称原曲未剪顺序或真实现场复刻。
R03,RM3,C01+C05,,10,15,,,新增双人副歌回唱；两人都唱同一歌词，保留各自声线，不称原曲未剪顺序或真实现场复刻。
R03,RM4,C01+C05,缘分阴错阳差,15,20.5,,,新增双人副歌回唱；两人都唱同一歌词，保留各自声线，不称原曲未剪顺序或真实现场复刻。
R03,A1,,,20.5,23.5,,,唱声真正结束后互看，双方各近0.2米，轻触袖边回应，再缓慢倾身。
R03,A2,,,23.5,30,,,双方主动持续深情相吻约6.5秒；无演唱，面部轮廓不融化。
